N,tick_count,repetition,source_protocol,target_protocol,source_beta,target_beta,expected_relative_beta,fitted_beta,fitted_beta_error,fitted_translation_t,fitted_translation_x,transition_rmse,accessible_overlap_count,accessible_overlap_fraction,invariant_pair_count,invariant_interval_rmse,invariant_interval_mae,invariant_interval_bias
300.0,128.0,2.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5139499999999999,-0.0023220930232557002,0.06783729032105072,-0.072602747524182,0.00633272047971148,58.0,0.19333333333333333,500.0,0.006690541137400032,0.004909188068582747,-0.0004070377592476915
300.0,32.0,3.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.3002,0.00020000000000003348,-0.07014551767095335,0.07768754611004271,0.0300203277040033,83.0,0.27666666666666667,500.0,0.047337979772661035,0.02969850648770982,0.00800938230223722
300.0,32.0,3.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.24319999999999997,0.006800000000000028,0.030268154614501393,-0.034295465795473386,0.032757006507025274,97.0,0.3233333333333333,500.0,0.0629328707130825,0.03671204437208827,0.012388965236377381
300.0,32.0,3.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.50445,0.007177906976744253,0.0662626252672298,-0.08241307877329487,0.028861417570862444,53.0,0.17666666666666667,500.0,0.036761110642789536,0.02360384753010781,0.0026204195043485444
300.0,64.0,3.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.30305000000000004,0.0030500000000000527,-0.06763507194250766,0.07234220683872199,0.015589817482066122,83.0,0.27666666666666667,500.0,0.02472338200088219,0.015823849684174274,0.008639729445610908
300.0,64.0,3.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.24605,0.003950000000000009,0.03130382866515068,-0.03414667034267665,0.013521097252794496,97.0,0.3233333333333333,500.0,0.023399583444015708,0.014887775418357244,0.00526125006694506
300.0,64.0,3.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5225,-0.010872093023255758,0.06490752163996201,-0.0759626041927279,0.01146031426514638,53.0,0.17666666666666667,500.0,0.015425592722441055,0.010571868187483954,-0.006519863933504433
300.0,128.0,3.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.30115000000000003,0.0011500000000000399,-0.06851496046547764,0.06987327039071552,0.006825444423163996,83.0,0.27666666666666667,500.0,0.009713731664243896,0.005897238489482948,0.001293087272711744
300.0,128.0,3.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.2526999999999999,-0.0026999999999999247,0.029545571704626235,-0.03266437840392068,0.008157111329987957,97.0,0.3233333333333333,500.0,0.015494521264192122,0.009192967105716036,0.0008270944441863785
300.0,128.0,3.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5139499999999999,-0.0023220930232557002,0.06851248106989749,-0.07210548658779907,0.0059428593023834325,53.0,0.17666666666666667,500.0,0.0063090201371152664,0.004195937883653157,-0.0006824655605257259
300.0,32.0,4.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.28974999999999995,-0.010250000000000037,-0.06831378861205242,0.06614511011106453,0.03467248683577554,88.0,0.29333333333333333,500.0,0.053870652375746134,0.03594762125915753,0.007426431913498381
300.0,32.0,4.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.25364999999999993,-0.003649999999999931,0.02785546069909422,-0.03966355607794068,0.030455632212768168,92.0,0.30666666666666664,500.0,0.05551761165143058,0.035746440054991925,0.006163448853093174
300.0,32.0,4.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5129999999999999,-0.0013720930232556938,0.06615304921115804,-0.07405852981966057,0.0321874306215579,56.0,0.18666666666666668,500.0,0.04176777356579509,0.028745144219646992,-0.0072269725404929715
300.0,64.0,4.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.2983,-0.0016999999999999793,-0.06860308883263082,0.06880110504948776,0.016582413599463303,88.0,0.29333333333333333,500.0,0.02714086635164504,0.017368395490452125,0.0038171488157867756
300.0,64.0,4.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.24509999999999998,0.0049000000000000155,0.032795137628226875,-0.030298299159296892,0.015028654533605372,92.0,0.30666666666666664,500.0,0.02484309168235568,0.01618337585566401,0.0023819077387019112
300.0,64.0,4.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.4997,0.01192790697674423,0.07264595900797045,-0.06966114122004322,0.014420311911484587,56.0,0.18666666666666668,500.0,0.01781089677250166,0.01140726580028258,0.0006590186587252584
300.0,128.0,4.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.29735,-0.0026499999999999857,-0.06856221478036763,0.06791544155541517,0.006697971206940196,88.0,0.29333333333333333,500.0,0.010054428374809282,0.006544602524401994,0.0029682271298312832
300.0,128.0,4.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.2498499999999999,0.0001500000000000945,0.030892542120234668,-0.03310620147634384,0.006592475971058354,92.0,0.30666666666666664,500.0,0.010738365836969873,0.0071022533861004565,0.001965396924234618
300.0,128.0,4.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5129999999999999,-0.0013720930232556938,0.07010534042005381,-0.06977862637209634,0.00603111988168981,56.0,0.18666666666666668,500.0,0.007345122148568402,0.0048464791291788455,-0.002523173799594545
600.0,32.0,0.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.29259999999999997,-0.007400000000000018,-0.0694637015050152,0.06834694234923225,0.030572315218563715,195.0,0.325,500.0,0.049803682691669036,0.03193206132586234,0.009375842085397391
600.0,32.0,0.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.2526999999999999,-0.0026999999999999247,0.031238546258899515,-0.026612424443862286,0.0289410401994149,229.0,0.38166666666666665,500.0,0.05014545454528579,0.030956265391907437,0.01123400747727677
600.0,32.0,0.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5129999999999999,-0.0013720930232556938,0.06917121741179451,-0.06921730952152337,0.030921790698703138,137.0,0.22833333333333333,500.0,0.03925280253340502,0.025231528540795158,-0.009622029300733803
600.0,64.0,0.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.3002,0.00020000000000003348,-0.06817067312966431,0.06780647867016097,0.01624396890566731,195.0,0.325,500.0,0.026086719922523607,0.01690812021436138,0.00441390857666097
600.0,64.0,0.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.2498499999999999,0.0001500000000000945,0.030294744742969924,-0.03203272724118395,0.015065409387420185,229.0,0.38166666666666665,500.0,0.025739726699848624,0.015228136878202873,0.0016037226465101214
600.0,64.0,0.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.50635,0.00527790697674424,0.06989366669525221,-0.07098941655508187,0.014615717651502191,137.0,0.22833333333333333,500.0,0.01728579573853252,0.010935028974341426,0.0031153750637822647
600.0,128.0,0.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.29925,-0.0007499999999999729,-0.06844808272948195,0.06935295444657377,0.00832901382175951,195.0,0.325,500.0,0.014390228501935042,0.008699687506371973,0.0036561165166536865
600.0,128.0,0.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.2498499999999999,0.0001500000000000945,0.030548438422037045,-0.03197524366254178,0.006816455006468401,229.0,0.38166666666666665,500.0,0.01125429582110583,0.006964596591099695,0.0016890248152085507
600.0,128.0,0.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5120499999999999,-0.00042209302325568743,0.06861092109625595,-0.07161136253004198,0.006183251847347408,137.0,0.22833333333333333,500.0,0.00612244470424134,0.004432786101759032,9.025410690964297e-05
600.0,32.0,1.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.29545,-0.0045499999999999985,-0.06893529537024691,0.07088636616514665,0.0291006012819901,174.0,0.29,500.0,0.04668679100459868,0.028876927033522088,0.010456451358468871
