target_index,t,x,inertial_accessible,rindler_accessible,rindler_wedge_accessible,rindler_finite_coverage_accessible
194.0,-1.1913276240980615,0.3474165164835318,1.0,0.0,0.0,0.0
195.0,-0.7083167853440866,-0.5211083664291722,1.0,0.0,0.0,0.0
196.0,-0.9412194864462404,0.9659878289393522,1.0,0.0,1.0,0.0
197.0,1.3227770620709238,-0.052936315825000455,1.0,0.0,0.0,0.0
198.0,-1.3075454519181382,0.23156616176874464,1.0,0.0,0.0,0.0
199.0,0.345513419193511,-0.9467003281744556,1.0,0.0,0.0,0.0
200.0,0.8660529382632283,0.6485393616759635,1.0,0.0,0.0,0.0
201.0,0.2982265963561588,1.025318534600162,1.0,1.0,1.0,1.0
202.0,0.5259660690464667,1.03916140716468,1.0,1.0,1.0,1.0
203.0,0.11312976022797194,1.8128809614153658,1.0,1.0,1.0,1.0
204.0,-1.0939984172705457,0.1360147411822582,1.0,0.0,0.0,0.0
205.0,-1.319685993540534,0.062077482714356,1.0,0.0,0.0,0.0
206.0,0.30879179594636286,-0.5058323687828349,1.0,0.0,0.0,0.0
207.0,0.14359571831645734,-1.6168300434276355,1.0,0.0,0.0,0.0
208.0,0.687611213910762,0.1621112441115684,1.0,0.0,0.0,0.0
209.0,-1.5606884557443643,-0.22997762355867638,1.0,0.0,0.0,0.0
210.0,-0.3441764701392289,0.4386704086492997,1.0,0.0,1.0,0.0
211.0,0.45680574267181484,-0.9519816740295184,1.0,0.0,0.0,0.0
212.0,0.7759381725859811,0.9402761270025716,1.0,1.0,1.0,1.0
213.0,0.34191834304248747,-0.8195932299314371,1.0,0.0,0.0,0.0
214.0,0.9315443074348608,-0.786029606623178,1.0,0.0,0.0,0.0
215.0,0.08010102881859194,-1.6589924915803913,1.0,0.0,0.0,0.0
216.0,-0.1485287634829131,-0.5026698052555265,1.0,0.0,0.0,0.0
217.0,-1.0833933200131738,-0.40273049776036934,1.0,0.0,0.0,0.0
218.0,0.7812084243672737,0.7085622237508201,1.0,0.0,0.0,0.0
219.0,-1.2180699480936146,-0.23126005024964075,1.0,0.0,0.0,0.0
220.0,0.12486449283930501,-1.094100363605186,1.0,0.0,0.0,0.0
221.0,1.3647014061798703,0.4188354327895881,1.0,0.0,0.0,0.0
222.0,-0.05391826678738054,-1.8503679996380025,1.0,0.0,0.0,0.0
223.0,-0.09622051959869271,-1.3490811806260974,1.0,0.0,0.0,0.0
224.0,-0.9669023996898525,-0.4358981292185196,1.0,0.0,0.0,0.0
225.0,-1.3754580744372307,-0.05638053378849233,1.0,0.0,0.0,0.0
226.0,0.8464823155236698,-0.15149706133459634,1.0,0.0,0.0,0.0
227.0,0.3028883648762086,-1.4760638885040867,1.0,0.0,0.0,0.0
228.0,0.2536498946959598,-1.6115732393220024,1.0,0.0,0.0,0.0
229.0,-0.4493031521772428,-1.3895313007181664,1.0,0.0,0.0,0.0
230.0,1.5789139875474736,-0.09020606516348433,1.0,0.0,0.0,0.0
231.0,0.5451346143978393,-0.746770680915124,1.0,0.0,0.0,0.0
232.0,1.1553806225393517,0.3704383869167478,1.0,0.0,0.0,0.0
233.0,0.4267700269622017,-0.9436690692819291,1.0,0.0,0.0,0.0
234.0,-1.5294336989512036,-0.17540169895841,1.0,0.0,0.0,0.0
235.0,0.02389053626073423,-1.915192510563865,1.0,0.0,0.0,0.0
236.0,1.2620416266360457,-0.32125264123621844,1.0,0.0,0.0,0.0
237.0,-1.6994692205088655,0.2582683855868487,1.0,0.0,0.0,0.0
238.0,0.20417998317321873,0.5189947277841607,1.0,1.0,1.0,1.0
239.0,-1.2327314074589815,0.00963244877972732,1.0,0.0,0.0,0.0
240.0,1.093058392165073,0.5659422988142753,1.0,0.0,0.0,0.0
241.0,1.2849064243116897,-0.4532194410607695,1.0,0.0,0.0,0.0
242.0,-0.4066577956070585,-0.5204327252975308,1.0,0.0,0.0,0.0
